dataset,seed,exit_layer,coverage,avg_set_size,singleton_rate,singleton_error
mnist,7,1,0.9069,0.9089,0.9089,0.0022004620970403786
mnist,7,2,0.9039,0.9039,0.9039,0.0
mnist,7,3,0.908,0.908,0.908,0.0
mnist,13,1,0.9036,0.9056,0.9056,0.002208480565371025
mnist,13,2,0.9036,0.9036,0.9036,0.0
mnist,13,3,0.9041,0.9041,0.9041,0.0
mnist,29,1,0.8977,0.8995,0.8995,0.0020011117287381877
mnist,29,2,0.8932,0.8932,0.8932,0.0
mnist,29,3,0.8964,0.8964,0.8964,0.0
mnist,42,1,0.9102,0.9121,0.9121,0.0020831049227058437
mnist,42,2,0.9035,0.9036,0.9036,0.00011066843736166445
mnist,42,3,0.9075,0.9076,0.9076,0.00011018069634200089
mnist,101,1,0.9109,0.9126,0.9126,0.0018628095551172475
mnist,101,2,0.9037,0.9039,0.9039,0.0002212634140944795
mnist,101,3,0.9084,0.9086,0.9086,0.00022011886418666079
fashion_mnist,7,1,0.8958,1.0025,0.9613,0.0886299802350983
fashion_mnist,7,2,0.8947,0.9316,0.9316,0.03960927436668098
fashion_mnist,7,3,0.899,0.9266,0.9266,0.029786315562270668
fashion_mnist,13,1,0.897,1.0042,0.9588,0.08740091781393408
fashion_mnist,13,2,0.8937,0.9258,0.9258,0.034672715489306546
fashion_mnist,13,3,0.896,0.9205,0.9205,0.026615969581749048
fashion_mnist,29,1,0.8924,0.994,0.958,0.08674321503131524
fashion_mnist,29,2,0.8926,0.9268,0.9268,0.036901165299956844
fashion_mnist,29,3,0.8898,0.9138,0.9138,0.026263952724885097
fashion_mnist,42,1,0.8918,0.9898,0.9588,0.08541927409261577
fashion_mnist,42,2,0.8946,0.9272,0.9272,0.035159620362381364
fashion_mnist,42,3,0.8986,0.9234,0.9234,0.026857266623348496
fashion_mnist,101,1,0.8982,1.0033,0.9615,0.08653146125845033
fashion_mnist,101,2,0.8977,0.9294,0.9294,0.034108026683882076
fashion_mnist,101,3,0.8955,0.9207,0.9207,0.02737047898338221
cifar10,7,1,0.9021,1.6682,0.4892,0.07399836467702371
cifar10,7,2,0.8957,1.1586,0.8521,0.09646755075695342
cifar10,7,3,0.9001,1.0535,0.9428,0.09609673313534153
cifar10,13,1,0.8983,1.6527,0.4944,0.07908576051779935
cifar10,13,2,0.9032,1.1764,0.8399,0.08584355280390522
cifar10,13,3,0.8986,1.0469,0.9474,0.09710787418197171
cifar10,29,1,0.9005,1.6878,0.4803,0.0776597959608578
cifar10,29,2,0.8951,1.1473,0.8624,0.09403988868274582
cifar10,29,3,0.8995,1.0432,0.9502,0.09461166070300989
cifar10,42,1,0.8996,1.6678,0.4886,0.07613589848546869
cifar10,42,2,0.9001,1.1704,0.8451,0.09111347769494735
cifar10,42,3,0.8998,1.0504,0.9442,0.09701334463037492
cifar10,101,1,0.8979,1.6503,0.4941,0.07994333130945153
cifar10,101,2,0.8959,1.1431,0.8629,0.09491250434581064
cifar10,101,3,0.8954,1.0245,0.9617,0.09774357907871478
svhn,7,1,0.9158727719729564,1.6233866011063307,0.5363014751075599,0.048348972136666425
svhn,7,2,0.9068838352796558,0.9294330055316533,0.9294330055316533,0.024261210994007028
svhn,7,3,0.8967808850645359,0.905500921942225,0.905500921942225,0.009630069574070931
svhn,13,1,0.9171020282728949,1.6062154271665643,0.5459818684695759,0.04756209104341096
svhn,13,2,0.9142593730792871,0.9417255685310387,0.9417255685310387,0.029165816846828473
svhn,13,3,0.9014674247080516,0.9108789182544561,0.9108789182544561,0.010332321187584346
svhn,29,1,0.914681929932391,1.5801321450522434,0.5568531038721574,0.05035871964679912
svhn,29,2,0.904540565457898,0.9272818070067609,0.9272818070067609,0.024524628195037076
svhn,29,3,0.8945144437615242,0.9037338660110633,0.9037338660110633,0.0102014792144861
svhn,42,1,0.9097264904732637,1.5163260602335586,0.5862015980331899,0.057732634338138925
svhn,42,2,0.9037722802704364,0.9257068223724647,0.9257068223724647,0.023694912440866463
svhn,42,3,0.8893669330055316,0.8980485556238476,0.8980485556238476,0.009667208486611343
svhn,101,1,0.9182928703134604,1.6896511985248925,0.5137523048555623,0.041797517571407206
svhn,101,2,0.904540565457898,0.9280500921942225,0.9280500921942225,0.025332174344964608
svhn,101,3,0.8934772587584512,0.9027350952673633,0.9027350952673633,0.01025531914893617
